# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:01 AM UTC
"Well","Well Position","Reading Number","Target","Temperature","Fluorescence","Derivative"
"2","A2","34","RPLP2","67.4257583618164","776526.9375","22083.04296875"
"2","A2","35","RPLP2","67.65077209472656","770918.875","22254.486328125"
"2","A2","36","RPLP2","67.87578582763672","761818.4375","22456.330078125"
"2","A2","37","RPLP2","68.10079193115234","758625.375","22637.546875"
"2","A2","38","RPLP2","68.3258056640625","754311.6875","22766.0859375"
"2","A2","39","RPLP2","68.55081176757812","746796.125","22839.970703125"
"2","A2","40","RPLP2","68.77582550048828","741090.5","22878.9921875"
"2","A2","41","RPLP2","69.00083923339844","736415.875","22904.615234375"
"2","A2","42","RPLP2","69.22584533691406","731749.375","22921.271484375"
"2","A2","43","RPLP2","69.45085906982422","725396.375","22907.486328125"
"2","A2","44","RPLP2","69.67587280273438","719381.1875","22825.037109375"
"2","A2","45","RPLP2","69.90087890625","712347.875","22639.904296875"
"2","A2","46","RPLP2","70.12589263916016","708616.875","22346.96484375"
"2","A2","47","RPLP2","70.35090637207031","702600.0625","21982.16015625"
"2","A2","48","RPLP2","70.57591247558594","695633.6875","21580.544921875"
"2","A2","49","RPLP2","70.8009262084961","694426.9375","21204.7265625"
"2","A2","50","RPLP2","71.02593994140625","688021.125","21009.24609375"
"2","A2","51","RPLP2","71.25094604492188","685281.0625","21027.0703125"
"2","A2","52","RPLP2","71.47595977783203","676226.3125","21240.791015625"
"2","A2","53","RPLP2","71.70096588134766","674118.8125","21593.408203125"
"2","A2","54","RPLP2","71.92597961425781","669309.3125","21941.40625"
"2","A2","55","RPLP2","72.15099334716797","663633.5625","22233.794921875"
"2","A2","56","RPLP2","72.3759994506836","656492.3125","22441.041015625"
"2","A2","57","RPLP2","72.60101318359375","650732.875","22528.42578125"
"2","A2","58","RPLP2","72.82601928710938","646994.9375","22500.56640625"
"2","A2","59","RPLP2","73.05103302001953","638397.9375","22398.4140625"
"2","A2","60","RPLP2","73.27604675292969","637940.4375","22278.75"
"2","A2","61","RPLP2","73.50105285644531","630052.75","22185.4609375"
"2","A2","62","RPLP2","73.72606658935547","625147.3125","22131.791015625"
"2","A2","63","RPLP2","73.95108032226562","618464.1875","22101.509765625"
"2","A2","64","RPLP2","74.17608642578125","615162.625","22066.361328125"
"2","A2","65","RPLP2","74.4011001586914","608814.4375","22005.525390625"
"2","A2","66","RPLP2","74.62611389160156","603412.4375","21917.400390625"
"2","A2","67","RPLP2","74.85111999511719","597605.1875","21817.6796875"
"2","A2","68","RPLP2","75.07613372802734","593465.3125","21727.765625"
"2","A2","69","RPLP2","75.3011474609375","590214.5","21643.3828125"
"2","A2","70","RPLP2","75.52615356445312","582550.9375","21587.37109375"
"2","A2","71","RPLP2","75.75116729736328","577245.6875","21547.978515625"
"2","A2","72","RPLP2","75.97618103027344","571993.5625","21529.51171875"
"2","A2","73","RPLP2","76.20118713378906","567607.8125","21570.708984375"
"2","A2","74","RPLP2","76.42620086669922","563210.625","21732.810546875"
"2","A2","75","RPLP2","76.65120697021484","559569.9375","21987.283203125"
"2","A2","76","RPLP2","76.876220703125","552997.875","22363.83984375"
"2","A2","77","RPLP2","77.10122680664062","547215.8125","22806.806640625"
"2","A2","78","RPLP2","77.32624053955078","540153.9375","23237.267578125"
"2","A2","79","RPLP2","77.55125427246094","533388.9375","23590.529296875"
"2","A2","80","RPLP2","77.77626037597656","530525.1875","23838.22265625"
"2","A2","81","RPLP2","78.00127410888672","525536.375","23985.04296875"
"2","A2","82","RPLP2","78.22628784179688","516325.0","24052.009765625"
"2","A2","83","RPLP2","78.4512939453125","509873.125","24065.90234375"
"2","A2","84","RPLP2","78.67630767822266","505321.46875","24060.201171875"
"2","A2","85","RPLP2","78.90132141113281","501749.65625","24072.419921875"
"2","A2","86","RPLP2","79.12632751464844","495379.21875","24128.265625"
"2","A2","87","RPLP2","79.3513412475586","489337.9375","24222.474609375"
"2","A2","88","RPLP2","79.57635498046875","480683.96875","24321.216796875"
"2","A2","89","RPLP2","79.80136108398438","476604.78125","24399.583984375"
"2","A2","90","RPLP2","80.02637481689453","469688.15625","24496.63671875"
"2","A2","91","RPLP2","80.25138854980469","463790.0","24758.779296875"
"2","A2","92","RPLP2","80.47639465332031","460863.90625","25447.63671875"
"2","A2","93","RPLP2","80.70140838623047","455991.28125","26919.90625"
"2","A2","94","RPLP2","80.9264144897461","448607.8125","29603.87109375"
"2","A2","95","RPLP2","81.15142822265625","439901.03125","33984.453125"
"2","A2","96","RPLP2","81.37643432617188","432050.21875","40576.25"
"2","A2","97","RPLP2","81.60144805908203","421091.875","49829.09765625"
"2","A2","98","RPLP2","81.82646179199219","407273.65625","61920.64453125"
"2","A2","99","RPLP2","82.05146789550781","386628.09375","76460.4375"
"2","A2","100","RPLP2","82.27648162841797","355782.53125","92230.171875"
"2","A2","101","RPLP2","82.50149536132812","305141.5625","107150.21875"
"2","A2","102","RPLP2","82.72650146484375","246303.53125","118617.0625"
"2","A2","103","RPLP2","82.9515151977539","188063.625","124187.15625"
"2","A2","104","RPLP2","83.17652893066406","144538.28125","122372.640625"
"2","A2","105","RPLP2","83.40153503417969","119665.9296875","113194.609375"
"2","A2","106","RPLP2","83.62654876708984","106395.140625","98220.984375"
"2","A2","107","RPLP2","83.8515625","102584.28125","80060.09375"
"2","A2","108","RPLP2","84.07656860351562","98159.3515625","61547.4296875"
"2","A2","109","RPLP2","84.30158233642578","97091.609375","44984.2578125"
"2","A2","110","RPLP2","84.52659606933594","96028.8984375","31706.908203125"
"2","A2","111","RPLP2","84.75160217285156","96162.109375","22059.712890625"
"2","A2","112","RPLP2","84.97661590576172","93696.0859375","13861.4306640625"
"2","A2","113","RPLP2","85.20162200927734","93530.9765625","8806.2802734375"
"2","A2","114","RPLP2","85.4266357421875","93363.5390625","5955.1650390625"
"2","A2","115","RPLP2","85.65164947509766","89321.359375","4445.833984375"
"2","A2","116","RPLP2","85.87665557861328","90700.3671875","3676.078125"
"2","A2","117","RPLP2","86.10166931152344","90584.6484375","3282.44921875"
"2","A2","118","RPLP2","86.32667541503906","88967.65625","3068.076171875"
"2","A2","119","RPLP2","86.55168914794922","88693.3203125","2927.37890625"
"2","A2","120","RPLP2","86.77670288085938","85362.046875","2798.923828125"
"2","A2","121","RPLP2","87.001708984375","85535.234375","2651.916015625"
"2","A2","122","RPLP2","87.22672271728516","85728.015625","2487.677734375"
"2","A2","123","RPLP2","87.45173645019531","86958.9765625","2331.365234375"
"2","A2","124","RPLP2","87.67674255371094","83858.5703125","2205.951171875"
"2","A2","125","RPLP2","87.9017562866211","83993.625","2106.3046875"
"2","A2","126","RPLP2","88.12677001953125","81320.171875","1998.205078125"
"2","A2","127","RPLP2","88.35177612304688","82120.875","1846.96484375"
"2","A2","128","RPLP2","88.57678985595703","80934.84375","1653.97265625"
"2","A2","129","RPLP2","88.80180358886719","82541.1953125","1469.630859375"
"2","A2","130","RPLP2","89.02680969238281","81291.4453125","1369.68359375"
"2","A2","131","RPLP2","89.25182342529297","80473.515625","1409.892578125"
"2","A2","132","RPLP2","89.47683715820312","79984.8515625","1589.505859375"
"2","A2","133","RPLP2","89.70184326171875","78143.609375","1846.595703125"
"2","A2","134","RPLP2","89.92684936523438","77450.03125","2085.607421875"
"2","A2","135","RPLP2","90.15187072753906","77230.7890625","2218.123046875"
"2","A2","136","RPLP2","90.37687683105469","75440.8984375","2193.96875"
"2","A2","137","RPLP2","90.60188293457031","76310.390625","2011.05078125"
"2","A2","138","RPLP2","90.82689666748047","75502.6953125","1707.744140625"
"2","A2","139","RPLP2","91.05191040039062","73292.609375","1349.5234375"
"2","A2","140","RPLP2","91.27691650390625","75770.9921875","1016.296875"
"2","A2","141","RPLP2","91.5019302368164","75776.0546875","787.494140625"
"2","A2","142","RPLP2","91.72694396972656","74646.7890625","720.130859375"
"2","A2","143","RPLP2","91.95195007324219","73806.2421875","825.146484375"
"2","A2","144","RPLP2","92.17696380615234","72913.0703125","1057.728515625"
"2","A2","145","RPLP2","92.4019775390625","71689.7734375","1334.494140625"
"2","A2","146","RPLP2","92.62698364257812","71056.203125","1571.427734375"
"2","A2","147","RPLP2","92.85199737548828","71504.515625","1718.611328125"
"2","A2","148","RPLP2","93.07701110839844","71736.578125","1770.162109375"
"2","A2","149","RPLP2","93.30201721191406","67944.71875","1747.484375"
"2","A2","150","RPLP2","93.52703094482422","69285.53125","1675.03515625"
"2","A2","151","RPLP2","93.75204467773438","69037.390625","1568.978515625"
"2","A2","152","RPLP2","93.97705078125","67855.0234375","1443.001953125"
"2","A2","153","RPLP2","94.20205688476562","68262.6171875","1318.095703125"
"2","A2","154","RPLP2","94.42707824707031","67615.078125","1222.27734375"
"2","A2","155","RPLP2","94.65208435058594","67784.1171875","1178.798828125"
"2","A2","156","RPLP2","94.87709045410156","67509.109375","1193.63671875"
"3","A3","1","RPLP2","60.00040054321289","979474.0","20286.46875"
"3","A3","2","RPLP2","60.22541046142578","975342.5","20545.220703125"
"3","A3","3","RPLP2","60.45042419433594","970107.1875","20815.447265625"
"3","A3","4","RPLP2","60.67543411254883","967509.3125","21048.2421875"
