# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:01 AM UTC
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"4","A4","8","RPLP2","1.7804168462753296","0.016837263107299806","pRH112","FALSE"
"4","A4","9","RPLP2","1.825343370437622","0.036201977729797365","pRH112","FALSE"
"4","A4","10","RPLP2","1.8713281154632568","0.05662491321563721","pRH112","FALSE"
"4","A4","11","RPLP2","1.9289934635162354","0.0887284517288208","pRH112","FALSE"
"4","A4","12","RPLP2","1.9828389883041382","0.1170121669769287","pRH112","FALSE"
"4","A4","13","RPLP2","2.059823751449585","0.16843512058258056","pRH112","FALSE"
"4","A4","14","RPLP2","2.1926965713500977","0.27574613094329836","pRH112","FALSE"
"4","A4","15","RPLP2","2.424237012863159","0.48172476291656496","pRH112","FALSE"
"4","A4","16","RPLP2","2.8234164714813232","0.8553424119949341","pRH112","FALSE"
"4","A4","17","RPLP2","3.4308412075042725","1.4372053384780883","pRH112","FALSE"
"4","A4","18","RPLP2","4.266272068023682","2.2470743894577025","pRH112","FALSE"
"4","A4","19","RPLP2","5.240188121795654","3.1954286336898803","pRH112","FALSE"
"4","A4","20","RPLP2","6.078719139099121","4.008397841453553","pRH112","FALSE"
"4","A4","21","RPLP2","6.723459720611572","4.627576613426209","pRH112","FALSE"
"4","A4","22","RPLP2","7.1778411865234375","5.056396269798279","pRH112","FALSE"
"4","A4","23","RPLP2","7.470495700836182","5.323488974571228","pRH112","FALSE"
"4","A4","24","RPLP2","7.682560920715332","5.509992384910584","pRH112","FALSE"
"4","A4","25","RPLP2","7.835629940032959","5.637499594688416","pRH112","FALSE"
"4","A4","26","RPLP2","7.937670707702637","5.713978552818299","pRH112","FALSE"
"4","A4","27","RPLP2","8.002191543579102","5.752937579154969","pRH112","FALSE"
"4","A4","28","RPLP2","8.052206993103027","5.7773912191390995","pRH112","FALSE"
"4","A4","29","RPLP2","8.086176872253418","5.785799288749695","pRH112","FALSE"
"4","A4","30","RPLP2","8.095799446105957","5.769860053062439","pRH112","FALSE"
"4","A4","31","RPLP2","8.108546257019043","5.75704505443573","pRH112","FALSE"
"4","A4","32","RPLP2","8.124095916748047","5.747032904624939","pRH112","FALSE"
"4","A4","33","RPLP2","8.141502380371094","5.738877558708191","pRH112","FALSE"
"4","A4","34","RPLP2","8.146706581115723","5.718519949913025","pRH112","FALSE"
"4","A4","35","RPLP2","8.141632080078125","5.687883639335633","pRH112","FALSE"
"4","A4","36","RPLP2","8.135881423950195","5.656571173667908","pRH112","FALSE"
"4","A4","37","RPLP2","8.127938270568848","5.6230662107467655","pRH112","FALSE"
"4","A4","38","RPLP2","8.135866165161133","5.605432295799256","pRH112","FALSE"
"4","A4","39","RPLP2","8.136629104614258","5.580633425712586","pRH112","FALSE"
"4","A4","40","RPLP2","8.119832992553711","5.538275504112244","pRH112","FALSE"
"5","A5","1","RPLP2","0.40707749128341675","0.008853608369827248","pRH106_0.1","FALSE"
"5","A5","2","RPLP2","0.4082929491996765","0.007294921441511681","pRH106_0.1","FALSE"
"5","A5","3","RPLP2","0.40699315071105957","0.003220978108319349","pRH106_0.1","FALSE"
"5","A5","4","RPLP2","0.40555477142333984","-9.915460239757101E-4","pRH106_0.1","FALSE"
"5","A5","5","RPLP2","0.407093346118927","-0.00222711617296394","pRH106_0.1","FALSE"
"5","A5","6","RPLP2","0.4118310213088989","-2.635858275673486E-4","pRH106_0.1","FALSE"
"5","A5","7","RPLP2","0.41459861397743225","-2.7013800360941144E-4","pRH106_0.1","FALSE"
"5","A5","8","RPLP2","0.4172820448875427","-3.608519380742703E-4","pRH106_0.1","FALSE"
"5","A5","9","RPLP2","0.42102792859077454","6.108869205821532E-4","pRH106_0.1","FALSE"
"5","A5","10","RPLP2","0.42352166771888733","3.3048120411961366E-4","pRH106_0.1","FALSE"
"5","A5","11","RPLP2","0.42492422461509705","-0.0010411067442460576","pRH106_0.1","FALSE"
"5","A5","12","RPLP2","0.4271879494190216","-0.0015515267848968295","pRH106_0.1","FALSE"
"5","A5","13","RPLP2","0.4340571463108063","0.0025435252623124504","pRH106_0.1","FALSE"
"5","A5","14","RPLP2","0.44319045543670654","0.008902689543637387","pRH106_0.1","FALSE"
"5","A5","15","RPLP2","0.4871615469455719","0.05009963620792735","pRH106_0.1","FALSE"
"5","A5","16","RPLP2","0.5529374480247498","0.11310139244252988","pRH106_0.1","FALSE"
"5","A5","17","RPLP2","0.6640321016311646","0.22142190120436928","pRH106_0.1","FALSE"
"5","A5","18","RPLP2","0.8709245920181274","0.42554024674675683","pRH106_0.1","FALSE"
"5","A5","19","RPLP2","1.2544869184494019","0.8063284283334559","pRH106_0.1","FALSE"
"5","A5","20","RPLP2","1.8797590732574463","1.428826438296925","pRH106_0.1","FALSE"
"5","A5","21","RPLP2","2.8070108890533447","2.3533041092482483","pRH106_0.1","FALSE"
"5","A5","22","RPLP2","3.934279441833496","3.477798517183824","pRH106_0.1","FALSE"
"5","A5","23","RPLP2","4.991761207580566","4.532506138086319","pRH106_0.1","FALSE"
"5","A5","24","RPLP2","5.785130977630615","5.323101763291792","pRH106_0.1","FALSE"
"5","A5","25","RPLP2","6.340305805206299","5.8755024460229","pRH106_0.1","FALSE"
"5","A5","26","RPLP2","6.682660102844238","6.215082598816265","pRH106_0.1","FALSE"
"5","A5","27","RPLP2","6.919059753417969","6.448708104545419","pRH106_0.1","FALSE"
"5","A5","28","RPLP2","7.089626789093018","6.616500995375893","pRH106_0.1","FALSE"
"5","A5","29","RPLP2","7.215092182159424","6.739192243597724","pRH106_0.1","FALSE"
"5","A5","30","RPLP2","7.317045211791992","6.838371128385717","pRH106_0.1","FALSE"
"5","A5","31","RPLP2","7.376461505889893","6.895013277639042","pRH106_0.1","FALSE"
"5","A5","32","RPLP2","7.420274257659912","6.9360518845644865","pRH106_0.1","FALSE"
"5","A5","33","RPLP2","7.452889919281006","6.965893401341004","pRH106_0.1","FALSE"
"5","A5","34","RPLP2","7.457249164581299","6.967478501796722","pRH106_0.1","FALSE"
"5","A5","35","RPLP2","7.471890926361084","6.979346118731932","pRH106_0.1","FALSE"
"5","A5","36","RPLP2","7.486443519592285","6.991124567118558","pRH106_0.1","FALSE"
"5","A5","37","RPLP2","7.496468544006348","6.998375446688045","pRH106_0.1","FALSE"
"5","A5","38","RPLP2","7.499203205108643","6.998335962945764","pRH106_0.1","FALSE"
"5","A5","39","RPLP2","7.47560453414917","6.971963147141716","pRH106_0.1","FALSE"
"5","A5","40","RPLP2","7.452226638793945","6.945811106941917","pRH106_0.1","FALSE"
"6","A6","1","RPLP2","0.30463123321533203","-0.009243393042585327","pRH106_0.01","FALSE"
"6","A6","2","RPLP2","0.30299219489097595","-0.005969883976401871","pRH106_0.01","FALSE"
"6","A6","3","RPLP2","0.2954631447792053","-0.008586386697632911","pRH106_0.01","FALSE"
"6","A6","4","RPLP2","0.29500505328178406","-0.004131930804514641","pRH106_0.01","FALSE"
"6","A6","5","RPLP2","0.30302727222442627","0.00880283552866716","pRH106_0.01","FALSE"
"6","A6","6","RPLP2","0.30737653374671936","0.01806464444149984","pRH106_0.01","FALSE"
"6","A6","7","RPLP2","0.29228729009628296","0.007887948181602975","pRH106_0.01","FALSE"
"6","A6","8","RPLP2","0.28019440174102783","7.076072168874376E-4","pRH106_0.01","FALSE"
"6","A6","9","RPLP2","0.2662218511104584","-0.008352396023142486","pRH106_0.01","FALSE"
"6","A6","10","RPLP2","0.2607736587524414","-0.008888040990619864","pRH106_0.01","FALSE"
"6","A6","11","RPLP2","0.25128480792045593","-0.013464344432065803","pRH106_0.01","FALSE"
"6","A6","12","RPLP2","0.2502318024635315","-0.009604802498450651","pRH106_0.01","FALSE"
"6","A6","13","RPLP2","0.256857305765152","0.001933248193709422","pRH106_0.01","FALSE"
"6","A6","14","RPLP2","0.2576711177825928","0.007659607601689752","pRH106_0.01","FALSE"
"6","A6","15","RPLP2","0.24859212338924408","0.0034931605988806486","pRH106_0.01","FALSE"
"6","A6","16","RPLP2","0.244665265083313","0.0044788496834891195","pRH106_0.01","FALSE"
"6","A6","17","RPLP2","0.24968396127223969","0.014410093262955379","pRH106_0.01","FALSE"
"6","A6","18","RPLP2","0.2723565101623535","0.0419951895436088","pRH106_0.01","FALSE"
"6","A6","19","RPLP2","0.3049699068069458","0.07952113357874062","pRH106_0.01","FALSE"
"6","A6","20","RPLP2","0.3924064338207245","0.1718702079830589","pRH106_0.01","FALSE"
"6","A6","21","RPLP2","0.5735778212547302","0.3579541428076042","pRH106_0.01","FALSE"
"6","A6","22","RPLP2","0.8982410430908203","0.6875299120342339","pRH106_0.01","FALSE"
"6","A6","23","RPLP2","1.4383913278579712","1.2325927441919244","pRH106_0.01","FALSE"
"6","A6","24","RPLP2","2.2971768379211426","2.0962908016456354","pRH106_0.01","FALSE"
"6","A6","25","RPLP2","3.408698320388794","3.2127248315038264","pRH106_0.01","FALSE"
"6","A6","26","RPLP2","4.547139644622803","4.356078703128374","pRH106_0.01","FALSE"
"6","A6","27","RPLP2","5.467845916748047","5.281697522644158","pRH106_0.01","FALSE"
"6","A6","28","RPLP2","6.0884833335876465","5.907247486874297","pRH106_0.01","FALSE"
"6","A6","29","RPLP2","6.477666854858398","6.301343555535588","pRH106_0.01","FALSE"
"6","A6","30","RPLP2","6.745726108551025","6.574315356618755","pRH106_0.01","FALSE"
"6","A6","31","RPLP2","6.962382793426514","6.795884588884783","pRH106_0.01","FALSE"
"6","A6","32","RPLP2","7.098114490509033","6.936528833357842","pRH106_0.01","FALSE"
"6","A6","33","RPLP2","7.18157434463501","7.024901234874358","pRH106_0.01","FALSE"
"6","A6","34","RPLP2","7.255905628204346","7.104145065834234","pRH106_0.01","FALSE"
"6","A6","35","RPLP2","7.283543586730957","7.1366955717513845","pRH106_0.01","FALSE"
"6","A6","36","RPLP2","7.316316604614258","7.174381137025225","pRH106_0.01","FALSE"
"6","A6","37","RPLP2","7.340051174163818","7.203028253965325","pRH106_0.01","FALSE"
"6","A6","38","RPLP2","7.36248779296875","7.230377420160796","pRH106_0.01","FALSE"
"6","A6","39","RPLP2","7.39287805557251","7.265680230155096","pRH106_0.01","FALSE"
"6","A6","40","RPLP2","7.395528316497803","7.273243038470928","pRH106_0.01","FALSE"
"7","A7","1","RPLP2","0.4032275974750519","0.0024420909583568254","pRH106_0.001","FALSE"
"7","A7","2","RPLP2","0.3981887400150299","0.003576924651861192","pRH106_0.001","FALSE"
"7","A7","3","RPLP2","0.3922986686229706","0.00386054441332815","pRH106_0.001","FALSE"
"7","A7","4","RPLP2","0.3931533396244049","0.010888906568288816","pRH106_0.001","FALSE"
"7","A7","5","RPLP2","0.39225637912750244","0.016165637224912634","pRH106_0.001","FALSE"
"7","A7","6","RPLP2","0.3774976432323456","0.007580592483282113","pRH106_0.001","FALSE"
"7","A7","7","RPLP2","0.3575406074523926","-0.006202752143144606","pRH106_0.001","FALSE"
"7","A7","8","RPLP2","0.33872804045677185","-0.01884162798523905","pRH106_0.001","FALSE"
"7","A7","9","RPLP2","0.33430618047714233","-0.017089796811342227","pRH106_0.001","FALSE"
"7","A7","10","RPLP2","0.3358103334903717","-0.009411952644586573","pRH106_0.001","FALSE"
"7","A7","11","RPLP2","0.3339121341705322","-0.005136460810899711","pRH106_0.001","FALSE"
"7","A7","12","RPLP2","0.32865196466445923","-0.004222939163446425","pRH106_0.001","FALSE"
"7","A7","13","RPLP2","0.3241153061389923","-0.00258590653538706","pRH106_0.001","FALSE"
"7","A7","14","RPLP2","0.32235240936279297","0.0018248878419399386","pRH106_0.001","FALSE"
"7","A7","15","RPLP2","0.3212280571460724","0.0068742267787456415","pRH106_0.001","FALSE"
"7","A7","16","RPLP2","0.31765276193618774","0.009472622722387337","pRH106_0.001","FALSE"
"7","A7","17","RPLP2","0.3036384582519531","0.0016320101916790022","pRH106_0.001","FALSE"
"7","A7","18","RPLP2","0.30102476477622986","0.00519200786948202","pRH106_0.001","FALSE"
"7","A7","19","RPLP2","0.3043786287307739","0.014719562977552426","pRH106_0.001","FALSE"
"7","A7","20","RPLP2","0.31016331911087036","0.026677944511175146","pRH106_0.001","FALSE"
"7","A7","21","RPLP2","0.3363637626171112","0.05905207917094233","pRH106_0.001","FALSE"
"7","A7","22","RPLP2","0.3722483515739441","0.10111035928130149","pRH106_0.001","FALSE"
