# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:02 AM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"146","G2","pRH107","S2","65.62567138671875","26694.880859375"
"146","G2","pRH107","S2","68.55081176757812","26610.787109375"
"146","G2","pRH107","S2","72.26349639892578","25611.17578125"
"147","G3","pRH108","S2","82.27648162841797","171137.0625"
"147","G3","pRH108","S2","87.001708984375","4949.802734375"
"147","G3","pRH108","S2","91.95195007324219","4676.869140625"
"147","G3","pRH108","S2","76.31369018554688","28773.828125"
"147","G3","pRH108","S2","68.77582550048828","30677.037109375"
"148","G4","pRH112","S2","82.27648162841797","131118.984375"
"148","G4","pRH112","S2","65.06314849853516","23761.015625"
"148","G4","pRH112","S2","93.97705078125","3041.150390625"
"148","G4","pRH112","S2","68.55081176757812","24269.033203125"
"148","G4","pRH112","S2","77.10122680664062","23041.298828125"
"149","G5","pRH106_0.1","S2","82.16145324707031","107362.390625"
"149","G5","pRH106_0.1","S2","87.67353820800781","-13669.392578125"
"149","G5","pRH106_0.1","S2","65.40019989013672","19209.349609375"
"149","G5","pRH106_0.1","S2","68.0999984741211","19028.810546875"
"149","G5","pRH106_0.1","S2","61.35049819946289","17647.232421875"
"150","G6","pRH106_0.01","S2","82.16145324707031","109513.8359375"
"150","G6","pRH106_0.01","S2","65.51268768310547","19973.421875"
"150","G6","pRH106_0.01","S2","68.88743591308594","19713.62890625"
"150","G6","pRH106_0.01","S2","74.84949493408203","18560.166015625"
"150","G6","pRH106_0.01","S2","94.64802551269531","-47411.984375"
"151","G7","pRH106_0.001","S2","82.16145324707031","109653.53125"
"151","G7","pRH106_0.001","S2","68.21248626708984","21567.869140625"
"151","G7","pRH106_0.001","S2","65.40019989013672","21442.224609375"
"151","G7","pRH106_0.001","S2","74.51202392578125","20422.02734375"
"152","G8","pRH106_0.0001","S2","82.27394104003906","115421.203125"
"152","G8","pRH106_0.0001","S2","66.18763732910156","21798.24609375"
"152","G8","pRH106_0.0001","S2","71.92471313476562","21274.08984375"
"152","G8","pRH106_0.0001","S2","69.11241912841797","21666.6796875"
"169","H1","pRH106","S2","82.05146789550781","147110.8125"
"169","H1","pRH106","S2","66.07569885253906","26471.392578125"
"169","H1","pRH106","S2","69.90087890625","25923.25"
"169","H1","pRH106","S2","75.8636703491211","24345.91796875"
"169","H1","pRH106","S2","89.47683715820312","4192.125"
"170","H2","pRH107","S2","82.16397857666016","160887.140625"
"170","H2","pRH107","S2","64.838134765625","28457.935546875"
"170","H2","pRH107","S2","91.27691650390625","5768.90234375"
"170","H2","pRH107","S2","67.3132553100586","28188.99609375"
"170","H2","pRH107","S2","76.876220703125","24876.63671875"
"171","H3","pRH108","S2","82.16397857666016","294848.375"
"171","H3","pRH108","S2","67.98828887939453","51795.72265625"
"171","H3","pRH108","S2","91.05191040039062","10270.22265625"
"171","H3","pRH108","S2","87.78925323486328","8992.98828125"
"171","H3","pRH108","S2","71.25094604492188","50082.390625"
"172","H4","pRH112","S2","82.27648162841797","170503.25"
"172","H4","pRH112","S2","89.36432647705078","5112.591796875"
"172","H4","pRH112","S2","92.4019775390625","4848.00390625"
"172","H4","pRH112","S2","73.05103302001953","32836.359375"
"172","H4","pRH112","S2","61.12545394897461","30641.1796875"
"173","H5","pRH106_0.1","S2","82.16145324707031","129100.9140625"
"173","H5","pRH106_0.1","S2","67.65003204345703","24873.919921875"
